student_id,course_title,course_code,total_quiz_score,test_score,overall_total_score,grade,Certification,timestamp,remark,recommendation
SID-1000,Introduction to Computer Science,CS101,15,26,41,D,Not Certified,2024-03-15,DROPPED OUT,Retake Introduction to Computer Science to improve foundations.
SID-1000,Technical Writing,ENG303,26,55,81,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1000,Business Management,BUS505,35,46,81,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1001,Advanced Mathematics,MATH202,37,37,74,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1001,Introduction to Computer Science,CS101,30,54,84,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1001,Business Management,BUS505,9,32,41,D,Not Certified,2024-03-15,DROPPED OUT,Retake Business Management to improve foundations.
SID-1002,Physics for Engineering,PHY404,25,55,80,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1002,Introduction to Computer Science,CS101,26,59,85,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1002,Advanced Mathematics,MATH202,32,35,67,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1003,Business Management,BUS505,29,38,67,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1003,Advanced Mathematics,MATH202,12,23,35,F,Not Certified,2024-03-15,DROPPED OUT,Retake Advanced Mathematics to improve foundations.
SID-1003,Physics for Engineering,PHY404,10,2,12,F,Not Certified,2024-03-15,DROPPED OUT,Retake Physics for Engineering to improve foundations.
SID-1004,Introduction to Computer Science,CS101,30,59,89,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1004,Business Management,BUS505,26,60,86,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1004,Advanced Mathematics,MATH202,25,39,64,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1005,Business Management,BUS505,14,1,15,F,Not Certified,2024-03-15,DROPPED OUT,Retake Business Management to improve foundations.
SID-1005,Advanced Mathematics,MATH202,26,43,69,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1005,Introduction to Computer Science,CS101,33,53,86,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1006,Advanced Mathematics,MATH202,27,39,66,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1006,Technical Writing,ENG303,30,54,84,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1006,Introduction to Computer Science,CS101,13,13,26,F,Not Certified,2024-03-15,DROPPED OUT,Retake Introduction to Computer Science to improve foundations.
SID-1007,Advanced Mathematics,MATH202,27,32,59,C,Certified,2024-03-15,COMPLETED,Fair. Re-attempt weak topic quizzes.
SID-1007,Business Management,BUS505,34,57,91,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1007,Introduction to Computer Science,CS101,9,8,17,F,Not Certified,2024-03-15,DROPPED OUT,Retake Introduction to Computer Science to improve foundations.
SID-1008,Physics for Engineering,PHY404,27,32,59,C,Certified,2024-03-15,COMPLETED,Fair. Re-attempt weak topic quizzes.
SID-1008,Introduction to Computer Science,CS101,32,51,83,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1008,Technical Writing,ENG303,26,45,71,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1009,Technical Writing,ENG303,7,34,41,D,Not Certified,2024-03-15,DROPPED OUT,Retake Technical Writing to improve foundations.
SID-1009,Advanced Mathematics,MATH202,28,30,58,C,Certified,2024-03-15,COMPLETED,Fair. Re-attempt weak topic quizzes.
SID-1009,Introduction to Computer Science,CS101,29,51,80,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1010,Technical Writing,ENG303,25,55,80,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1010,Physics for Engineering,PHY404,38,45,83,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1010,Introduction to Computer Science,CS101,27,40,67,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1011,Business Management,BUS505,15,4,19,F,Not Certified,2024-03-15,DROPPED OUT,Retake Business Management to improve foundations.
SID-1011,Introduction to Computer Science,CS101,30,35,65,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1011,Physics for Engineering,PHY404,30,60,90,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1012,Advanced Mathematics,MATH202,17,31,48,D,Not Certified,2024-03-15,DROPPED OUT,Retake Advanced Mathematics to improve foundations.
SID-1012,Introduction to Computer Science,CS101,26,36,62,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1012,Technical Writing,ENG303,28,58,86,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1013,Technical Writing,ENG303,26,55,81,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1013,Business Management,BUS505,25,47,72,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1013,Physics for Engineering,PHY404,31,40,71,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1014,Technical Writing,ENG303,32,42,74,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1014,Introduction to Computer Science,CS101,27,33,60,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1014,Physics for Engineering,PHY404,31,58,89,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1015,Introduction to Computer Science,CS101,33,31,64,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1015,Physics for Engineering,PHY404,33,51,84,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1015,Advanced Mathematics,MATH202,33,45,78,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1016,Advanced Mathematics,MATH202,28,34,62,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1016,Physics for Engineering,PHY404,32,42,74,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1016,Technical Writing,ENG303,26,34,60,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1017,Introduction to Computer Science,CS101,29,50,79,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1017,Advanced Mathematics,MATH202,26,52,78,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1017,Business Management,BUS505,27,57,84,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1018,Physics for Engineering,PHY404,9,26,35,F,Not Certified,2024-03-15,DROPPED OUT,Retake Physics for Engineering to improve foundations.
SID-1018,Advanced Mathematics,MATH202,26,35,61,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1018,Business Management,BUS505,24,46,70,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1019,Physics for Engineering,PHY404,14,22,36,F,Not Certified,2024-03-15,DROPPED OUT,Retake Physics for Engineering to improve foundations.
SID-1019,Advanced Mathematics,MATH202,9,13,22,F,Not Certified,2024-03-15,DROPPED OUT,Retake Advanced Mathematics to improve foundations.
SID-1019,Introduction to Computer Science,CS101,29,52,81,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1020,Technical Writing,ENG303,32,48,80,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1020,Advanced Mathematics,MATH202,29,50,79,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1020,Business Management,BUS505,28,51,79,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1021,Technical Writing,ENG303,10,21,31,F,Not Certified,2024-03-15,DROPPED OUT,Retake Technical Writing to improve foundations.
SID-1021,Physics for Engineering,PHY404,33,34,67,B,Certified,2024-03-15,COMPLETED,Good performance. Review advanced topics.
SID-1021,Business Management,BUS505,36,55,91,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
SID-1022,Physics for Engineering,PHY404,31,45,76,A,Certified,2024-03-15,COMPLETED,Excellent! Ready for the next level.
